# fonte: https://www.bcb.gov.br/content/estabilidadefinanceira/str1/ParticipantesSTR.csv
# baixado_em: 2026-09-24
# linhas: 463
# sha256_bruto: 3073c905bcf196c56c78e5cd8244588b7781c6aa02fd8659027d7f5529e3abb9
codigo,ispb,nome
457,39587424,UY3 SOCIEDADE DE CRÉDITO DIRETO S/A
458,07253654,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
460,42047025,UNAVANTI SOCIEDADE DE CRÉDITO DIRETO S/A
461,19540550,ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.
462,39908427,STARK SOCIEDADE DE CRÉDITO DIRETO S.A.
463,40434681,AZUMI DISTRIBUIDORA DE TíTULOS E VALORES MOBILIáRIOS LTDA.
464,60518222,Banco Sumitomo Mitsui Brasileiro S.A.
465,40083667,CAPITAL CONSIG SOCIEDADE DE CRÉDITO DIRETO S.A.
467,33886862,"MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS - EM LIQUIDAÇÃO EXTRAJUDICIAL"
468,04862600,"PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO"
469,07138049,PICPAY INVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
470,18394228,CDC SOCIEDADE DE CRÉDITO DIRETO S.A.
473,33466988,Banco Caixa Geral - Brasil S.A.
475,10371492,Banco Yamaha Motor do Brasil S.A.
476,45860531,IDEA MAKER INSTITUICAO DE PAGAMENTO LTDA
477,33042953,Citibank N.A.
478,11760553,"GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
479,60394079,Banco ItauBank S.A.
481,43599047,SUPERLÓGICA SOCIEDADE DE CRÉDITO DIRETO S.A.
482,42259084,ARTTA SOCIEDADE DE CRÉDITO DIRETO S.A
484,36864992,APEX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
487,62331228,DEUTSCHE BANK S.A. - BANCO ALEMAO
488,46518205,"JPMorgan Chase Bank, National Association"
495,44189447,Banco de La Provincia de Buenos Aires
496,45283173,BBVA BRASIL BANCO DE INVESTIMENTO S.A.
505,32062580,BANCO UBS (BRASIL) S.A.
506,42066258,RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA
507,37229413,"SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO EFÍ S.A."
508,61384004,AVENUE SECURITIES BANCO DE INVESTIMENTO S.A.
509,13935893,CELCOIN INSTITUICAO DE PAGAMENTO S.A.
510,39738065,FFCRED SOCIEDADE DE CRÉDITO DIRETO S.A..
511,44683140,MAGNUM SOCIEDADE DE CRÉDITO DIRETO S.A.
512,36266751,FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
513,44728700,ATF SOCIEDADE DE CRÉDITO DIRETO S.A.
514,73302408,EXIM SOCIEDADE CORRETORA DE CÂMBIO LTDA
516,36583700,"PLACARPAY S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
517,03816413,PAGUEVELOZ INSTITUIÇÃO DE PAGAMENTO LTDA.
518,37679449,"MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
519,40768766,LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
520,44705774,SOMAPAY SOCIEDADE DE CRÉDITO DIRETO S.A.
521,44019481,PEAK SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.
522,47593544,RED SOCIEDADE DE CRÉDITO DIRETO S.A.
523,44292580,HR DIGITAL - SOCIEDADE DE CRÉDITO DIRETO S/A
524,45854066,WNT CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
525,34265629,INTERCAM CORRETORA DE CÂMBIO LTDA.
526,46026562,MONETARIE SOCIEDADE DE CRÉDITO DIRETO S.A.
527,44478623,ATICCA - SOCIEDADE DE CRÉDITO DIRETO S.A.
528,34829992,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.- EM LIQUIDAÇÃO EXTRAJUDICIAL
529,17079937,PINBANK BRASIL INSTITUIÇÃO DE PAGAMENTO S.A.
530,47873449,SER FINANCE SOCIEDADE DE CRÉDITO DIRETO S.A.
531,34337707,BMP SOCIEDADE DE CRÉDITO DIRETO S.A
532,45745537,FUTURO SOCIEDADE DE CRÉDITO DIRETO S.A.
533,22575466,SRM BANK INSTITUIÇÃO DE PAGAMENTO S/A
534,00714671,EWALLY INSTITUIÇÃO DE PAGAMENTO S.A.
535,39519944,OPEA SOCIEDADE DE CRÉDITO DIRETO S.A.
536,20855875,NEON PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO
537,45756448,SELECT CREDIT SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.
538,20251847,SUDACRED SOCIEDADE DE CRÉDITO DIRETO S.A.
539,00122327,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS"
540,04849745,HBI SOCIEDADE DE CRÉDITO DIRETO S/A.
541,00954288,FUNDO GARANTIDOR DE CREDITOS - FGC
542,18189547,CLOUDWALK INSTITUIÇÃO DE PAGAMENTO E SERVICOS LTDA
543,92825397,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS ELETRICITÁRIOS E DOS TRABALHADORES DAS EMPRESAS DO SETOR DE ENERGIA - COOPCRECE
544,38593706,MULTICRED SOCIEDADE DE CRÉDITO DIRETO S.A.
546,30980539,OKTO INSTITUIÇÃO DE PAGAMENTO S.A.
547,45331622,BNK DIGITAL SOCIEDADE DE CRÉDITO DIRETO S.A.
548,06249129,"RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
550,32074986,BEETELLER INSTITUIÇÃO DE PAGAMENTO LTDA.
551,48967968,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
552,32192325,UZZIPAY INSTITUIÇÃO DE PAGAMENTO S.A.
553,48707451,PERCAPITAL SOCIEDADE DE CRÉDITO DIRETO S.A.
554,28811341,BANCO STONEX S.A.
555,02682287,"PAN FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
556,40333582,SAYGO CORRETORA DE CÂMBIO S.A.
557,30944783,PAGPRIME INSTITUICAO DE PAGAMENTO LTDA
559,49288113,"KANASTRA FINANCEIRA S.A, CREDITO, FINANCIAMENTO E INVESTIMENTO"
560,21995256,MAG INSTITUICAO DE PAGAMENTO LTDA
561,20757199,PAY4FUN INSTITUICAO DE PAGAMENTO S.A.
562,18684408,AZIMUT BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
563,40276692,PROTEGE CASH INSTITUIÇÃO DE PAGAMENTO S.A.
564,63019146,"ANKOR CAPITAL - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A"
565,74014747,ÁGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.
566,23114447,FLAGSHIP INSTITUICAO DE PAGAMENTO LTDA
567,33040601,"MERCANTIL FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO."
568,49933388,BRCONDOS SOCIEDADE DE CRÉDITO DIRETO S.A.
569,12473687,CONTA PRONTA INSTITUICAO DE PAGAMENTO LTDA
571,50489148,MONTE BRAVO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
572,51414521,ALL IN CRED SOCIEDADE DE CREDITO DIRETO S.A.
573,18282093,OXY COMPANHIA HIPOTECÁRIA
574,48756121,A55 SOCIEDADE DE CRÉDITO DIRETO S.A.
575,48584954,DGBK CREDIT S.A. - SOCIEDADE DE CRÉDITO DIRETO.
576,11351086,MERCADO BITCOIN INSTITUICAO DE PAGAMENTO LTDA
577,10663610,DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.
579,49555647,QUADRA SOCIEDADE DE CRÉDITO DIRETO S.A.
585,50946592,SETHI SOCIEDADE DE CRÉDITO DIRETO S.A.
586,35810871,Z1 INSTITUIÇÃO DE PAGAMENTO LTDA.
587,37678915,FIDD DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
588,20308187,AVANCARD PROVER INSTITUIÇÃO DE PAGAMENTO LTDA
589,51212088,G5 SOCIEDADE DE CRÉDITO DIRETO S.A.
590,40473435,REPASSES FINANCEIROS E SOLUCOES TECNOLOGICAS INSTITUICAO DE PAGAMENTO S.A.
